Subject,L2 Regularization,Latent Factors,Key,Accuracy,Precision,Recall,F1 Score,Model Loss,Classification
01,0.0001,7,x_filter,0.5666666666666667,0.6412213740458015,0.7304347826086957,0.6829268292682926,2.1105048656463623,
01,0.0001,15,x_filter,0.6444444444444445,0.6758620689655173,0.8521739130434782,0.7538461538461537,1.7612481117248535,
01,0.0001,30,a_pred,0.6555555555555556,0.6827586206896552,0.8608695652173913,0.7615384615384615,1.454702377319336,
01,0.001,7,x_filter,0.5611111111111111,0.6428571428571429,0.7043478260869566,0.6721991701244814,2.115682601928711,
01,0.001,15,a_smooth,0.6277777777777778,0.6935483870967742,0.7478260869565218,0.7196652719665273,1.7650179862976074,
01,0.001,30,x_pred,0.65,0.678082192,0.8608695652173913,0.7586206896551724,1.520198106765747,
01,0.002,3,x_filter,0.5222222222222223,0.6330275229357798,0.6,0.6160714285714285,2.3792948722839355,
02,0.0001,7,x_pred,0.6542553191489362,0.6730769230769231,0.693069307,0.6829268292682926,9.353716850280762,
02,0.0001,15,x_pred,0.6808510638297872,0.6952380952380952,0.7227722772277227,0.7087378640776698,8.321758270263672,
02,0.0001,30,a_smooth,0.6968085106382979,0.6964285714285714,0.7722772277227723,0.7323943661971831,7.324324131011963,
02,0.001,7,x_pred,0.6648936170212766,0.6759259259259259,0.7227722772277227,0.6985645933014355,9.378163338,
02,0.001,15,x_pred,0.6648936170212766,0.6792452830188679,0.7128712871287128,0.6956521739130435,8.295162200927734,
02,0.001,30,a_smooth,0.6595744680851063,0.6528925619834711,0.7821782178217822,0.7117117117117117,7.348598480224609,
02,0.002,3,a_pred,0.6223404255319149,0.6339285714285714,0.7029702970297029,0.6666666666666666,9.800871849060059,
02,,,,0.674,,,,,LDS
02,,,,0.68,,,,,RF
02,,,,0.82,,,,,TCN
03,0.0001,7,a_hat,0.4745762711864407,0.5280898876404494,0.47959183673469385,0.5026737967914437,2.4394662380218506,
03,0.0001,15,x_smooth,0.480225989,0.53,0.5408163265306123,0.5353535353535354,2.2218997478485107,
03,0.0001,30,x_pred,0.4406779661016949,0.49523809523809526,0.5306122448979592,0.5123152709359605,2.0993292331695557,
03,0.001,7,a_pred,0.4745762711864407,0.5268817204301075,0.5,0.5130890052356021,2.467590808868408,
03,0.001,15,a_pred,0.4745762711864407,0.5252525252525253,0.5306122448979592,0.5279187817258884,2.273473024368286,
03,0.001,30,x_filter,0.4463276836158192,0.5,0.5306122448979592,0.5148514851485149,2.107116937637329,
03,0.002,3,a_hat,0.4745762711864407,0.5280898876404494,0.47959183673469385,0.5026737967914437,2.744504451751709,
03,,,,0.632,,,,,LDS
03,,,,0.84,,,,,RF
03,,,,0.73,,,,,TCN
04,0.0001,7,x_filter,0.4845360824742268,0.44871794871794873,0.3804347826086957,0.4117647058823529,3.331254720687866,
04,0.0001,15,x_filter,0.5257731958762887,,0,,3.025357723236084,
04,0.0001,30,x_filter,0.4845360824742268,0.44871794871794873,0.3804347826086957,0.4117647058823529,2.717573642730713,
04,0.001,7,x_filter,0.4742268041237113,0.43902439024390244,0.391304348,0.4137931034482759,3.3510994911193848,
04,0.001,15,x_filter,0.5257731958762887,,0,,3.0349607467651367,
04,0.001,30,a_smooth,0.5103092783505154,0.48148148148148145,0.42391304347826086,0.45086705202312133,2.7879769802093506,
04,0.002,3,a_smooth,0.5257731958762887,0.5,0.4891304347826087,0.4945054945054945,3.546156406402588,
04,,,,0.567,,,,,LDS
04,,,,0.72,,,,,RF
04,,,,0.85,,,,,TCN
05,0.0001,7,x_filter,0.5795454545454546,0.7477477477477478,0.6434108527131783,0.6916666666666667,3.4968955516815186,
05,0.0001,15,x_filter,0.6079545454545454,0.7830188679245284,0.6434108527131783,0.7063829787234043,3.438911199569702,
05,0.0001,30,x_pred,0.6306818181818182,0.75,0.7441860465116279,0.7470817120622568,3.3960719108581543,
05,0.001,7,a_pred,0.5340909090909091,0.719626168,0.5968992248062015,0.6525423728813559,3.5499911308288574,
05,0.001,15,x_smooth,0.6363636363636364,0.773109244,0.7131782945736435,0.7419354838709677,3.4783411026000977,
05,0.001,30,x_filter,0.6306818181818182,0.753968254,0.7364341085271318,0.7450980392156862,3.523892879486084,
05,0.002,3,x_pred,0.5681818181818182,0.7345132743362832,0.6434108527131783,0.6859504132231405,3.5701918601989746,
05,,,,0.674,,,,,LDS
05,,,,0.86,,,,,RF
05,,,,0.87,,,,,TCN
06,0.0001,7,x_filter,0.5508021390374331,0.6506024096385542,0.4954128440366973,0.5625,3.716822624206543,
06,0.0001,15,x_pred,0.5721925133689839,0.6526315789473685,0.5688073394495413,0.607843137,3.4970829486846924,
06,0.001,7,x_filter,0.5561497326203209,0.6547619047619048,0.5045871559633027,0.5699481865284974,3.6676950454711914,
06,0.001,15,x_filter,0.5454545454545454,0.6395348837209303,0.5045871559633027,0.564102564,3.5493292808532715,
06,0.002,3,x_pred,0.5401069518716578,0.6210526315789474,0.5412844036697247,0.5784313725490196,3.991020679473877,
07,0.0001,7,x_filter,0.5193370165745856,0.5116279069767442,0.4943820224719101,0.5028571428571429,2.4905996322631836,
07,0.002,3,x_pred,0.49171270718232046,0.4842105263157895,0.5168539325842697,0.5,2.644143581390381,
08,0.002,3,x_filter,0.5051020408163265,0.5083333333333333,0.6161616161616161,0.5570776255707762,3.335461139678955,
09,0.002,3,a_smooth,0.66,0.684931507,0.5263157894736842,0.5952380952380952,3.2658069133758545,
10,0.002,3,x_pred,0.48717948717948717,0.5596330275229358,0.5398230088495575,0.5495495495495495,2.2522690296173096,
11,0.002,3,x_filter,0.4594594594594595,0.5111111111111111,0.5609756097560976,0.5348837209302325,3.2408108711242676,
12,0.002,3,x_pred,0.6052631578947368,0.6666666666666666,0.75,0.7058823529411765,2.495248794555664,
13,0.002,3,a_pred,0.56,0.5779816513761468,0.6,0.5887850467289719,1.9367053508758545,
14,0.002,3,x_filter,0.5232558139534884,0.5245901639344263,0.7272727272727273,0.6095238095238097,1.839034080505371,
15,0.002,3,a_pred,0.48255813953488375,0.4027777777777778,0.38666666666666666,0.3945578231292517,2.0788068771362305,
16,0.002,3,a_smooth,0.54,0.635036496,0.6744186046511628,0.6541353383458646,2.6605687141418457,
17,0.002,3,a_pred,0.37037037037037035,0.4,0.3448275862068966,0.3703703703703704,2.5687105655670166,
18,0.002,3,a_smooth,0.5416666666666666,0.5977011494252874,0.5531914893617021,0.5745856353591161,3.4123001098632812,
19,0.002,3,x_pred,0.5736040609137056,0.6190476190476191,0.5,0.5531914893617021,3.275653362,
20,0.002,3,a_pred,0.5251798561151079,0.5176470588235295,0.6376811594202898,0.5714285714285714,0.45436087250709534,
